sperm_id,total_distance,displacement,time_elapsed,vcl,vsl,vap,alh,mad,linearity,wob,straightness,bcf,angular_displacement,curvature
259.0,2.0208970827117536,1.863463174897777,0.08,25.26121353389692,23.293289686222213,25.19060448541795,0.1413124133296846,0.7638396674179407,0.9220970186157511,0.9972048433704809,0.9220970186157511,0.0,-0.31567593245874054,13.22669868806623
260.0,11.534558539988701,1.9357649973534177,0.52,22.181843346132116,3.7226249949104186,21.897513190901307,1.5585488033134487,1.3831076704348857,0.16782306757925683,0.98718185180582,0.16782306757925683,5.769230769230769,0.04676095142620323,6.360947628021875
264.0,50.07951018073518,1.9071169747692625,1.94,25.814180505533596,0.9830499869944652,25.371880682490904,3.0139171613629845,1.5818113108257867,0.03808178170845811,0.9828660133933796,0.03808178170845811,5.154639175257732,0.022426186456233326,6.4266516608990045
265.0,0.0,0.0,0.0,5.154639175257732,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
266.0,8.86582078564166,8.827617202870208,0.04,221.6455196410415,220.6904300717552,221.61258551796266,0.4108643161702278,0.09291633401650956,0.9956909141640532,0.9998514108332432,0.9956909141640531,0.0,0.18583266803301912,0.04060638350014158
267.0,7.793450885657537,1.1995282909786718,0.18,43.296949364764096,6.664046060992621,43.29694936476409,1.026281088436106,1.7215839836019977,0.15391490991316703,0.9999999999999999,0.15391490991316706,22.22222222222222,0.38241979171008644,4.641640889968782
271.0,0.0,0.0,0.0,22.22222222222222,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
273.0,16.56549642359104,15.229384860207771,0.08,207.068705294888,190.36731075259715,206.75891476638043,2.697960179098055,0.41032016542792754,0.919343705179852,0.9985039239605695,0.9193437051798519,0.0,0.3552481726188161,0.1508100465990565
274.0,5.599506189276365,5.599506189276365,0.02,279.97530946381823,279.97530946381823,279.97530946381835,0.0,0.0,1.0,1.0000000000000004,1.0,0.0,,
275.0,1.3953797936810588,1.3953797936810588,0.02,69.76898968405294,69.76898968405294,69.76898968405295,0.0,0.0,1.0,1.0000000000000002,1.0,0.0,,
277.0,24.99994178977001,22.325125020616646,0.1,249.99941789770008,223.25125020616645,248.9697918903035,2.679792346266779,0.6542726528865569,0.8930070801105665,0.9958814863808286,0.8930070801105665,10.0,-0.49713602729215156,0.13394534842974573
278.0,69.32336322181291,52.937156890742735,0.5,138.64672644362582,105.87431378148547,138.2219698252711,14.072114797776965,0.7767500140801984,0.7636264951739361,0.9969364107667739,0.7636264951739361,4.0,0.03283632065797784,1.352335766631411
280.0,11.86422562471652,5.5507617860470635,0.06,197.73709374527533,92.51269643411773,197.73709374527533,3.137252036846,3.460082996029912,0.46785706557057255,1.0,0.46785706557057255,0.0,1.6961130146847565,0.8153129816945843
281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
282.0,215.128550512426,55.64378398349117,2.86,75.21977290644266,19.455868525696214,74.90790506369723,35.88099168261211,3.2177547375334985,0.25865364616156394,0.9958539114026131,0.25865364616156394,0.0,-0.02265860222093542,2.3200766117994522
283.0,4.627251607488601,4.627251607488601,0.02,231.36258037443005,231.36258037443005,231.36258037443008,1.572414519756877e-12,0.0,1.0,1.0000000000000002,1.0,0.0,,
285.0,4.010733511374564,4.010733511374564,0.02,200.5366755687282,200.5366755687282,200.5366755687282,0.0,0.0,1.0,1.0,1.0,0.0,,
286.0,38.05908733115943,18.575673769347244,0.22,172.99585150527014,84.4348807697602,172.21032357205334,6.919819679081964,2.8170854796357,0.488074598524046,0.9954592672229896,0.48807459852404594,9.090909090909092,0.20002894877981006,1.3938566802931747
287.0,0.7622496843055091,0.7622496843055091,0.02,38.11248421527545,38.11248421527545,38.11248421527545,0.0,0.0,1.0,1.0,1.0,0.0,,
290.0,20.50223566630049,19.08539536344681,0.08,256.2779458287561,238.56744204308512,256.09727620429516,2.699034502006774,1.5231142411817697,0.9308933754389265,0.9992950246893985,0.9308933754389265,0.0,-1.607100052922456,0.8927856872666055
291.0,11.089506326770193,9.188687155811293,0.24,46.20627636154247,38.286196482547055,46.086943165914214,2.269851307202966,2.135175639037678,0.8285929855713864,0.997417381251531,0.8285929855713864,0.0,0.4168284549192061,3.3370253022820786
295.0,25.53692394542037,11.914982788236276,0.12,212.80769954516975,99.29152323530231,212.37952491073784,6.969784747282052,3.1152653913283626,0.46657862214344864,0.997987973953259,0.46657862214344864,8.333333333333334,-0.708994331200224,0.31518670636704493
296.0,14.78373431116404,10.927584996719068,0.08,184.7966788895505,136.59481245898834,183.9050081319868,2.848248700923903,1.33379037611834,0.7391627018396175,0.9951748550735772,0.7391627018396175,0.0,-1.3465337776947186,0.5754601804441531
297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
298.0,36.91067772229799,22.114818145880214,0.18,205.05932067943328,122.86010081044564,205.05932067943328,10.377459506366803,0.9468293364852732,0.5991441910729399,1.0,0.5991441910729399,0.0,-0.27583652305996753,0.40881510347787875
299.0,3.6507836832984815,3.6507836832984815,0.02,182.53918416492408,182.53918416492408,182.53918416492408,0.0,0.0,1.0,1.0,1.0,0.0,,
302.0,12.82410397504387,6.199555735470525,0.26,49.32347682709181,23.844445136425094,49.116275024339615,3.36710259898759,1.2203070069153032,0.48342993378212346,0.9957991241477449,0.48342993378212346,15.384615384615383,0.2038056221262083,3.0581778523223484
303.0,74.31645347244742,36.81915988613114,0.42,176.94393683916053,87.66466639555034,176.07440660381465,12.677594686054404,1.122399928402874,0.49543752649313016,0.9950858432852872,0.4954375264931301,4.761904761904762,0.07415936866088317,1.141193399016764
304.0,27.290243645237638,9.612198592333256,0.18,151.61246469576466,53.40110329074031,151.6124646957647,9.014719000839067,2.414223612923031,0.35222106175701584,1.0000000000000002,0.35222106175701584,0.0,0.33074187326491533,0.36504857265489243
305.0,129.73966301059437,44.21238401261529,0.84,154.4519797745171,52.63379049120868,153.46781278206117,12.299582507029179,1.1218713670511058,0.3407777004092031,0.9936280066212637,0.340777700409203,5.9523809523809526,-0.010400287555354213,0.39692788869453577
307.0,8.576298791032285,0.9358834999937237,0.6,14.293831318387141,1.5598058333228728,14.017820124156266,0.7190408081286873,1.5421465629139526,0.10912440468752328,0.9806901880900313,0.10912440468752328,5.0,-0.06245214522170543,12.461024757782369
311.0,26.12588145703578,1.6007254615056545,3.18,8.215685992778548,0.5033727866369982,8.113358412615424,1.1038227439612245,2.2402373146033865,0.06126972076092667,0.9875448525840608,0.061269720760926676,2.20125786163522,0.027531825994343156,20.058933802863667
313.0,7.7957194364256175,7.653278505345893,0.06,129.9286572737603,127.55464175576489,129.92865727376034,0.7166877498975229,0.18074609104011063,0.9817283148474831,1.0000000000000002,0.9817283148474832,0.0,0.21111306541441088,0.15482550705607306
314.0,147.35378674120435,78.01444682898887,0.84,175.42117469190995,92.87434146308199,174.48632026877726,20.312078610064933,2.1004759915466393,0.5294363216196452,0.9946708005759591,0.5294363216196452,7.142857142857143,-0.07878790771387047,0.7725239737652647
316.0,0.0,0.0,0.0,7.142857142857143,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
318.0,7.470180272182333,7.470180272182333,0.02,373.5090136091166,373.5090136091166,373.5090136091166,0.0,0.0,1.0,1.0,1.0,0.0,,
319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
320.0,7.1825102043746885,6.888634690853576,0.08,89.7813775546836,86.1079336356697,89.61153199810465,0.8650998711665151,0.2313247834627703,0.9590845672113184,0.9981082317825264,0.9590845672113184,0.0,0.14356268648055837,0.24503412317209425
322.0,4.347193034564209,4.347193034564209,0.02,217.35965172821045,217.35965172821045,217.3596517282105,0.0,0.0,1.0,1.0000000000000002,1.0,0.0,,
324.0,0.5697664763431654,0.3750065874199143,0.08,7.122080954289567,4.687582342748929,6.992168214753186,0.13843061628677145,1.1141587953118375,0.6581759422329564,0.9817591599463447,0.6581759422329563,0.0,-0.5913775671068927,11.491524909858454
329.0,27.95036721286467,12.757774304857003,0.1,279.50367212864666,127.57774304857003,275.7302367964157,7.136816718900635,2.500453537634006,0.4564438888296611,0.9864995142872607,0.456443888829661,10.0,0.6955888267926317,0.730651741769984
330.0,12.125400065439313,2.358441671005069,0.38,31.90894754062977,6.206425450013339,30.99122707650864,0.9902343774259036,1.859139576254023,0.19450423559444185,0.9712394003922381,0.19450423559444185,13.157894736842104,0.1140190182902568,7.660265120113721
332.0,89.46161624136738,35.6427496596439,0.54,165.66965970623588,66.00509196230351,164.35792617573603,16.680391933184826,2.027400183741598,0.3984138802442355,0.9920822344125907,0.3984138802442355,3.7037037037037033,0.11627226097971845,0.6032306420471856
333.0,10.921138039476908,9.78279502406871,0.06,182.01896732461515,163.0465837344785,182.01896732461512,1.8142876425066812,2.364811316635862,0.895766996874007,0.9999999999999999,0.895766996874007,0.0,-2.538394062010938,1.1930408915756683
336.0,4.827094347915917,3.981288617577073,0.04,120.67735869789793,99.53221543942682,119.94821582691685,1.0095795968501087,0.7474105491332845,0.8247795320793723,0.9939579148992944,0.8247795320793724,0.0,-1.494821098266569,1.3917133063606015
