epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,1182,1.06398,0.55187,0.85184,0.91411,0.24884,0.2261,0.06945,2.66486,1.29633,1.32965,0.000245989,0.000245989,0.000245989
81,1195.95,1.18399,0.55684,0.83759,0.89767,0.22207,0.20126,0.06136,2.77944,1.35958,1.37536,0.000237786,0.000237786,0.000237786
82,1209.42,0.93511,0.50761,0.83059,0.89767,0.22207,0.20126,0.06136,2.77944,1.35958,1.37536,0.000229299,0.000229299,0.000229299
83,1223.23,0.98961,0.52565,0.81669,0.89767,0.22207,0.20126,0.06136,2.77944,1.35958,1.37536,0.000220529,0.000220529,0.000220529
84,1237.21,0.99273,0.52632,0.82089,0.9014,0.22801,0.20817,0.05877,2.82694,1.35245,1.39915,0.000211476,0.000211476,0.000211476
85,1252,0.97787,0.51298,0.82474,0.9014,0.22801,0.20817,0.05877,2.82694,1.35245,1.39915,0.000202141,0.000202141,0.000202141
86,1265.57,0.98728,0.51479,0.82825,0.9014,0.22801,0.20817,0.05877,2.82694,1.35245,1.39915,0.000192522,0.000192522,0.000192522
87,1278.98,1.02224,0.52425,0.84643,0.9014,0.22801,0.20817,0.05877,2.82694,1.35245,1.39915,0.00018262,0.00018262,0.00018262
88,1292.2,0.99019,0.52948,0.83107,0.90156,0.22917,0.20897,0.05991,2.83049,1.33558,1.39906,0.000172436,0.000172436,0.000172436
89,1305.6,0.94658,0.51147,0.83329,0.90156,0.22917,0.20897,0.05991,2.83049,1.33558,1.39906,0.000161969,0.000161969,0.000161969
90,1319.12,0.98846,0.50907,0.82637,0.90156,0.22917,0.20897,0.05991,2.83049,1.33558,1.39906,0.000151218,0.000151218,0.000151218
91,1332.22,1.11082,0.5924,0.84369,0.90156,0.22917,0.20897,0.05991,2.83049,1.33558,1.39906,0.000140185,0.000140185,0.000140185
92,1345.38,1.24645,0.65077,0.8658,0.90791,0.23843,0.21229,0.06306,2.77785,1.29597,1.37906,0.000128869,0.000128869,0.000128869
93,1358.44,1.61292,0.89714,0.8682,0.90791,0.23843,0.21229,0.06306,2.77785,1.29597,1.37906,0.000117269,0.000117269,0.000117269
94,1371.12,1.06967,0.55249,0.84764,0.90791,0.23843,0.21229,0.06306,2.77785,1.29597,1.37906,0.000105387,0.000105387,0.000105387
95,1383.64,1.08826,0.55808,0.85185,0.90791,0.23843,0.21229,0.06306,2.77785,1.29597,1.37906,9.32222e-05,9.32222e-05,9.32222e-05
96,1397.28,1.25378,0.58938,0.88269,0.58115,0.24484,0.21976,0.06686,2.72697,1.24165,1.35572,8.07742e-05,8.07742e-05,8.07742e-05
97,1410.15,1.00858,0.54147,0.83267,0.58115,0.24484,0.21976,0.06686,2.72697,1.24165,1.35572,6.80433e-05,6.80433e-05,6.80433e-05
98,1422.75,1.05219,0.55645,0.8474,0.58115,0.24484,0.21976,0.06686,2.72697,1.24165,1.35572,5.50294e-05,5.50294e-05,5.50294e-05
99,1435.09,0.9743,0.55028,0.82697,0.58115,0.24484,0.21976,0.06686,2.72697,1.24165,1.35572,4.17325e-05,4.17325e-05,4.17325e-05
100,1447.62,1.03106,0.52894,0.81629,0.57446,0.2482,0.219,0.06627,2.73844,1.22389,1.35764,2.81527e-05,2.81527e-05,2.81527e-05
